id	text	count
113895524	特别 羡慕 这批 新生代 的 职场 90 后 ， 虽然 我 自己 也 才 工作 不到 十年 。 我 羡慕 他们 给 了 劳动者 们 一股 清流 ， 一种 我们 曾经 想 做 却 受困 于 社会 评价 ， 家庭 条件 而 不敢 做 的 事 ： 你们 特么 玩命 压榨 员工 ， 滚 一边 儿去 吧 ， 爷 不 陪 你们 玩 了 ！ 加油 ！	5280
113647792	换 一个 问法 ： 现在 的 企业 怎么 了 ， 留不住 年轻 的 员工 ？	2494
113921297	因为 高校 的 就业 导向 是 — — 先 就业 ， 再 择业 。	1271
394157579	就 我 经历 过 的 应届生 辞职 事件 里面 ， 无一例外 是 公司 钱 给 少 了 。 每年 的 应届生 就象 出栏 的 肥羊 一样 是 每个 公司 梦寐以求 的 盘剥 对象 。 价格 极低 ， 有 可能 能 挑到 极品 ， 这些 都 是 校招 公开 的 秘密 。 应届生 并 不会 更 喜欢 辞职 ， 只是 公司 更 喜欢 盘剥 他们 ， 仅此而已 。	620
113939654	2017 - 3 - 9 更新 : 最早 我 写 这个 答案 确实 只是 一个 吐槽 ， 貌似 后来 被 点 了 多次 反对 ， 但是 实际 生活 和 工作 中 确实 是 这样 的 啊 ， 多少 老板 / 管理层 和 你 讲 情怀 ， 灌 鸡汤 ， 对 个人 发展 有用吗 ？ 这种 情况 下 ， 自己 的 能力 与 待遇 达 不到 匹配 ， 为什么 要 留下 ？ 真是 奇 了 怪 了 。 原 回答 ： 你们 告诉 我们 刚 开始 不要 太 在意 薪水 ， 我们 信 了 ， 于是 我们 拼命 干活 ， 不提 加薪 ， 然后 你们 就 真 不 加薪 了 ； 你们 告诉 我们 年轻人 有 活力 ， 多干点 不是 坏事 ， 我们 信 了 ， 总在 加班 ， 然后 你们 就 真 不让 我们 休假 了 ； 你们 又 告诉 我们 要 听话 ， 不要 每天 抱怨 ， 要 做 一个 没有 思想 的 机器 ， 能 干活 就行 ， 对不起 ， 我们 不是 傻 逼 ， 再见 。 - - - - - - - 来自 一个 大龄 90 后	7714
234293055	因为 网络 的 发展 ， 减少 了 信息 不 对称 ， 也 就 降低 了 决策 成本 。 在 更 早 的 一代人 眼里 ， 工作 更 多 意味 的 是 “ 饭碗 ” ， 选择 也 比较 少 ， 相对来说 更 不 容易 做出 决定 。 但 现在 ， 选择 越来越 多 ， 其实 相当于 环境 的 包容性 变强 了 ， 对 个人 来说 ， 想要 做出 决定 也 就 没 那么 难 了 。	2620
113887966	谁 说 的 ？ 你 看 各大 高校 、 研究所里 的 90 后 ， 任劳任怨 ， 吃苦耐劳 ， 全年 无休 ， 动辄 通宵 做 实验 ， 一个月 几百块 钱 ， 照样 干 的 热火朝天 没 几个 辞职 的 。 我 说 这个 的 意思 是 ： 90 后 其实 是 个 特别 能 吃苦 ， 特别 能 战斗 ， 主观 能动性 特别 强 ， 特别 不怕 失败 ， 特别 有 奉献精神 ， 特别 不计报酬 的 群体 ， 只不过 这些 优秀品质 只会 在 他们 认为 值得 的 地方 展现 。 在 实验室 里 付出 的 努力 ， 可以 转化 为 技能 、 思维 、 人 脉 、 学识 、 资历 等等 千金难买 的 竞争 优势 ， 因此 90 后 硕士 和 直博生们 可以 忍受 集体 宿舍 ， 可以 忍受 低工资 ， 可以 忍受 7712 的 作息 。 但 在 某些 无聊 的 重复劳动 的 岗位 上 ， 同样 是 这些 人 ， 一分钟 都 不想 多 呆 。	3436
113429687	从 我 接触 的 周围 90 后来 看 ， 可能 是因为 他们 对 ( 某 不 和谐 词汇 ) 的 容忍度 普遍 比较 低 。	7296
113888758	我 就 问 你们 见过 哪个 成年人 上班 请假 需要 家长 签字 的 吗 ！ ！ ！ 家长 签字 啊 ！ ！ 好歹 毕业 了 我 都 22 了 … … 请假 还要 我妈 签字 … … 我 感觉 我 在 小学 .. - - - 哼   你们 这些 人 笑话 我 以后 都 不 给 我 点赞 - - -                     简直 一点儿 都 不 友好 ! 怒 摔 !   o ( ≧ 口 ≦ ) o - - - - - - - - 来自 2018 年 的 遥远 分界线 - - - - - - - - 既然 说 这样 答题 不 合格 规范 的话   那 我 就 说 的 直白 点   不是 我们 应届生 喜欢 辞职 ， 而且 如果 一家 公司 弄 出 这样 的 请假 条例 ， 你 觉得 这家 公司 值得 你 长久 干 下去 吗 ！ ？ ！ 为了 让 回答 更加 规范   我 只能 说   公司 文化 和 本人 职场 价值观 相 违背   故 选择 辞职 。 回答 完毕	2888
113231981	无论 哪个 年代 的 毕业生 。 面临 诸多 选择 的 时候 都 容易 大 范围 ， 大规模 ， 高频率 的 跳槽 。 以 更好 与 社会 相互 磨合 。 更快 的 做好 自身 定位 ， 找准 可 实现 的 奋斗目标 。 老一辈 的 人们 之所以 相对 安分守己 不愿 跳槽 。 主要 是 他们 选择 太 少 。	657
